Annotated sentence	Intent	Training
Look for a [picture](object_type) of [Masters of the Universe: The Super Adventure](object_name)	SearchCreativeWork	True
Find me the [saga](object_type) [Air Cavalry](object_name)	SearchCreativeWork	True
Can you help me locate the [game](object_type), [Coast](object_name)?	SearchCreativeWork	True
Please look up for [Disney Universe](object_name).	SearchCreativeWork	True
Find the [song](object_type) [Shomoyer Kotha](object_name)	SearchCreativeWork	True
Find me the [picture](object_type) [Live in Paris 1975](object_name)	SearchCreativeWork	True
I'm looking for the [Formula One Championship Edition](object_name) [album](object_type)	SearchCreativeWork	True
Please search the [Abby](object_name) [saga](object_type).	SearchCreativeWork	True
Need to find a creative work with the title [Sometimes the Blues Is Just a Passing Bird](object_name)	SearchCreativeWork	True
Can you search [Miracle in the Rain](object_name)?	SearchCreativeWork	True
Please help me search [The Banker](object_name) [television show](object_type).	SearchCreativeWork	True
Looking for the [album](object_type) by the [New Zealand Local Government](object_name)	SearchCreativeWork	True
search for a [photograph](object_type) of [Road Hogs](object_name)	SearchCreativeWork	True
Can you help me find [The Patrician](object_name)?	SearchCreativeWork	True
Can you please locate the [movie](object_type), [Healthy](object_name)?	SearchCreativeWork	True
Could you locate the work, [All the Times I Cried](object_name)?	SearchCreativeWork	True
Find the [show](object_type) [ActivePerl](object_name)	SearchCreativeWork	True
Please look up the [Jenny of the Prairie](object_name) [television show](object_type).	SearchCreativeWork	True
Please locate [Sad Love Story](object_name) [novel](object_type) for me.	SearchCreativeWork	True
Look for a [photograph](object_type) of [Tailwind](object_name)	SearchCreativeWork	True
Please look up the [Atheist Manifesto: The Case Against Christianity](object_name) [album](object_type).	SearchCreativeWork	True
Can you help me find the work, [The Sperm](object_name)?	SearchCreativeWork	True
Find the [novel](object_type) [Peace Arch News](object_name)	SearchCreativeWork	True
Can you locate [The Crucible of Man: Something Wicked Part 2](object_name) [novel](object_type)?	SearchCreativeWork	True
Can you find me the [game](object_type), [The Hits](object_name)?	SearchCreativeWork	True
Please search and get me [The East Is Red](object_name) [saga](object_type).	SearchCreativeWork	True
Please get me the [Critical Condition](object_name) [show](object_type).	SearchCreativeWork	True
Can you get me [The Only Hope for Me Is You](object_name) [game](object_type)?	SearchCreativeWork	True
Find [The Right Fight](object_name)	SearchCreativeWork	True
Find the [game](object_type) [Just Dance Greatest Hits](object_name)	SearchCreativeWork	True
Please help me find the [Comet](object_name) [photograph](object_type).	SearchCreativeWork	True
Acreative work with the title [At the Cafe Bohemia](object_name)	SearchCreativeWork	True
Find me a [movie](object_type) with the name [Oshin](object_name)	SearchCreativeWork	True
Find the [album](object_type) titled [Spasmolytic](object_name)	SearchCreativeWork	True
Please find me the [Home at Last](object_name) [trailer](object_type).	SearchCreativeWork	True
Please get me the work, [All Killer](object_name).	SearchCreativeWork	True
Find me the creative work called [Guilt by Association Vol. 2](object_name)	SearchCreativeWork	True
Please search the [Songs for the Deaf](object_name) [video game](object_type).	SearchCreativeWork	True
Can you locate the work, [Warlock 2: The Exiled](object_name)?	SearchCreativeWork	True
Can you find me the [trailer](object_type) of the [Hippocratic Oath](object_name)?	SearchCreativeWork	True
Looking for the [television show](object_type) called [American Dream](object_name)	SearchCreativeWork	True
Can you find [My Island Home](object_name) [TV series](object_type)?	SearchCreativeWork	True
can you find [Leadership](object_name) in my library, please?	SearchCreativeWork	True
Please search for the [Transformers: Beast Machines](object_name) [trailer](object_type).	SearchCreativeWork	True
Please search for the [Live in San Juan Capistrano](object_name) [picture](object_type).	SearchCreativeWork	True
Need the [book](object_type) called [ANAK](object_name)	SearchCreativeWork	True
Looking for the [video game](object_type) called [Spartacus: Gods of the Arena](object_name)	SearchCreativeWork	True
Can you find me the work titled, [A Little Curious](object_name)?	SearchCreativeWork	True
Find the [book](object_type) [A Glorious Way to Die](object_name)	SearchCreativeWork	True
Find me the [television show](object_type) [MythBusters](object_name)	SearchCreativeWork	True
Please search for the work, [Wholehearted](object_name).	SearchCreativeWork	True
Find the [video game](object_type) [High Hopes & Heartbreak](object_name)	SearchCreativeWork	True
Can you find me the work, [Wild Things: Diamonds in the Rough](object_name)?	SearchCreativeWork	True
Can you find me the [Naked City – Justice with a Bullet](object_name) [album](object_type)?	SearchCreativeWork	True
Please search for the [Thrilling Cities](object_name) [photograph](object_type).	SearchCreativeWork	True
Please find me the [Dante's Peak](object_name) [painting](object_type).	SearchCreativeWork	True
Please fine me [Worms Clan Wars](object_name).	SearchCreativeWork	True
Can you get me the [Cracking Contraptions](object_name) [picture](object_type)?	SearchCreativeWork	True
Please look up the [painting](object_type) [Beyond Iconic: Photographer Dennis Stock](object_name).	SearchCreativeWork	True
Find a [photograph](object_type) of [Adventure Time: The Secret of the Nameless Kingdom](object_name)	SearchCreativeWork	True
Look for a [painting](object_type) of [Amusement Parks U.S.A](object_name).	SearchCreativeWork	True
Can you find me the [SchoolTool](object_name) [picture](object_type)?	SearchCreativeWork	True
Search for the [trailer](object_type) of [The Falls](object_name)	SearchCreativeWork	True
Please find me the work, [The Burning World](object_name).	SearchCreativeWork	True
Please get me the [Before Crisis: Final Fantasy VII](object_name) [television show](object_type).	SearchCreativeWork	True
Need to find the [picture](object_type) titled [The Days of Mars](object_name)	SearchCreativeWork	True
Can you find me the work, [Frisbee: The Life and Death of a Hippie Preacher](object_name)?	SearchCreativeWork	True
can you get me the [television show](object_type) called [Start It Up](object_name)?	SearchCreativeWork	True
Need find the [book](object_type) called [Hollywood Connection](object_name)	SearchCreativeWork	True
Can you please find [The Notebook of Trigorin](object_name) [game](object_type)?	SearchCreativeWork	True
Please search for [All the Lovers](object_name) [trailer](object_type).	SearchCreativeWork	True
Please look up the [TV series](object_type) [Giant Killer Shark: The Musical](object_name).	SearchCreativeWork	True
Please look up the [movie](object_type), [Fresh Gear](object_name).	SearchCreativeWork	True
Can you search the [picture](object_type) titled [The Accounting](object_name)?	SearchCreativeWork	True
Please help me find the [Selections from the Arista Years](object_name) [video game](object_type).	SearchCreativeWork	True
I am looking for the creative work [Rats: Night of Terror](object_name)	SearchCreativeWork	True
Please find me the [Rounin](object_name) [photograph](object_type).	SearchCreativeWork	True
Please search [The Big Game](object_name) [show](object_type).	SearchCreativeWork	True
Please find me the [Earth 2150: Lost Souls](object_name) [game](object_type)?	SearchCreativeWork	True
Search for [To Heart 2](object_name)	SearchCreativeWork	True
Can you get me the [Snowman's Land](object_name) [movie](object_type)?	SearchCreativeWork	True
Find me the [Plastic](object_name) [trailer](object_type).	SearchCreativeWork	True
Can you find me [The Real McCoy](object_name) [novel](object_type)?	SearchCreativeWork	True
Looking for the [saga](object_type) called [The Scofflaw](object_name)	SearchCreativeWork	True
Please look up [The Lamentable Journey of Omaha Bigelow into the Impenetrable Loisaida Jungle](object_name) [television show](object_type).	SearchCreativeWork	True
Please look up the [show](object_type), [The Society for the Study of the Multi-Ethnic Literature of the United States](object_name).	SearchCreativeWork	True
Get me [Kiss the Crystal Flake](object_name)	SearchCreativeWork	True
Please search [The Young Warriors](object_name) [game](object_type).	SearchCreativeWork	True
Find me the [TV show](object_type) [We Lived for Estonia](object_name)	SearchCreativeWork	True
Wish to fins a [television show](object_type) called [Whole Again](object_name)	SearchCreativeWork	True
Please get me the [Welcome to the Rileys](object_name) [game](object_type).	SearchCreativeWork	True
Please fine me, [Ties That Bind](object_name).	SearchCreativeWork	True
Can you get me the [All Night Long 3: The Final Chapter](object_name) [novel](object_type)?	SearchCreativeWork	True
Wish to find the [show](object_type) called [Hunters of the Dusk](object_name)	SearchCreativeWork	True
Please find me the [Irish Pictorial Weekly](object_name) [trailer](object_type).	SearchCreativeWork	True
Help me find the [television show](object_type), [My Choice](object_name).	SearchCreativeWork	True
Can you get me [The Education of Little Tree](object_name) [song](object_type)?	SearchCreativeWork	True
Can you please find me the [Wispolitics.com](object_name) [game](object_type)?	SearchCreativeWork	True
search for a [painting](object_type) of [The Wannadies](object_name)	SearchCreativeWork	True
Can you find me [The Assassination of Jesse James by the Coward Robert Ford](object_name) [saga](object_type)?	SearchCreativeWork	True
Look for [All That Matters](object_name)	SearchCreativeWork	True
Find me the [soundtrack](object_type) [The Remote Viewer](object_name)	SearchCreativeWork	True
Please search the [TV show](object_type) [Chelsea Girl](object_name).	SearchCreativeWork	True
I need [Top Gear 2](object_name), please search it for me.	SearchCreativeWork	True
Please help me search the [TV series](object_type) [A Mouse Divided](object_name).	SearchCreativeWork	True
Find a [picture](object_type) of [Music Hole](object_name)	SearchCreativeWork	True
I'm looking for the [trailer](object_type) of [Highlands Today](object_name)	SearchCreativeWork	True
Find the [movie](object_type) [Poison Ivy: The New Seduction](object_name)	SearchCreativeWork	True
is there a [program](object_type) about [The Last Flight](object_name)?	SearchCreativeWork	True
Please find me [The Purple Vigilantes](object_name) [book](object_type).	SearchCreativeWork	True
Find a [photograph](object_type) of [Crayon Shin-chan: The Storm Called: The Battle of the Warring States](object_name)	SearchCreativeWork	True
Can you find me the [game](object_type), [King of Raop](object_name)?	SearchCreativeWork	True
Search for [Infantry](object_name)	SearchCreativeWork	True
Look for the [movie](object_type) [Darkness Come Alive](object_name)	SearchCreativeWork	True
Can you find me the [movie](object_type) [The Countess](object_name)?	SearchCreativeWork	True
Please find me the work, [Instrumental Directions](object_name).	SearchCreativeWork	True
Can you find me the [Dicey Business](object_name) [TV series](object_type)?	SearchCreativeWork	True
Find the [painting](object_type) [The Acoustic Album](object_name)	SearchCreativeWork	True
Look up the [picture](object_type), [Colour of Love](object_name).	SearchCreativeWork	True
Can you search [Never Turn Your Back on a Friend](object_name) [show](object_type)?	SearchCreativeWork	True
Can you find me the [movie](object_type), [The Girl and the General](object_name)?	SearchCreativeWork	True
Need the [saga](object_type) called the [Black Lamp](object_name)	SearchCreativeWork	True
Can you help me search the [album](object_type) titled [PlayMaker Football](object_name)?	SearchCreativeWork	True
Search for the [soundtrack](object_type) of [Today with Kris Aquino](object_name)	SearchCreativeWork	True
Please look up for the work, [Black Box](object_name).	SearchCreativeWork	True
Please find me the [Platinum Box II](object_name) [song](object_type)?	SearchCreativeWork	True
Find the [TV series](object_type) [Joy Of A Toy](object_name)	SearchCreativeWork	True
Can you get me [The Border Patrol](object_name) [song](object_type)?	SearchCreativeWork	True
Find a [picture](object_type) of [A Breed Apart](object_name)	SearchCreativeWork	True
Please search [The Best of Steely Dan: Then and Now](object_name) [saga](object_type).	SearchCreativeWork	True
Looking for the [movie](object_type) called [Crossbones](object_name)	SearchCreativeWork	True
Find the [album](object_type) [Future of the Past](object_name)	SearchCreativeWork	True
Help me search [UFC on Fox](object_name) [show](object_type).	SearchCreativeWork	True
Wish to find a [novel](object_type) called [African Holocaust](object_name)	SearchCreativeWork	True
Find the [album](object_type) [The Desert Sun](object_name)	SearchCreativeWork	True
Find me the creative work [The Pickwick Papers](object_name)	SearchCreativeWork	True
Please search [Thirayum Theeravum](object_name) [video game](object_type).	SearchCreativeWork	True
Please search for the [Drop-In](object_name) [song](object_type).	SearchCreativeWork	True
Find the [album](object_type) [Blood of Emeralds – The Very Best of Gary Moore Part 2](object_name)	SearchCreativeWork	True
Can you help me find the [We No Who U R](object_name) [game](object_type)?	SearchCreativeWork	True
can you get me the [trailer](object_type) of [The Multiversity](object_name)?	SearchCreativeWork	True
Can you find me work, [Stairway to Heaven](object_name)?	SearchCreativeWork	True
Please look up [The Lakes of Canada](object_name) [album](object_type).	SearchCreativeWork	True
Can you please find me the work, [The Holy Man](object_name)?	SearchCreativeWork	True
Can you find me the [Hectic](object_name) [game](object_type)?	SearchCreativeWork	True
Can you get me the [painting](object_type), [Chicken Noodles](object_name)?	SearchCreativeWork	True
Please search for the [Two Faces of My Girlfriend](object_name) [saga](object_type).	SearchCreativeWork	True
Please search for [Sealed with a Kiss](object_name) [movie](object_type).	SearchCreativeWork	True
Please get me [Stories from the English and Scottish Ballads](object_name) [show](object_type).	SearchCreativeWork	True
Please find the [Infrared Riding Hood](object_name) [TV show](object_type).	SearchCreativeWork	True
Please search the [Karobar Economic Daily](object_name) [picture](object_type).	SearchCreativeWork	True
Please look up the [song](object_type), [Twist of shadows](object_name).	SearchCreativeWork	True
Please get me [The Paper Chase](object_name) [TV show](object_type).	SearchCreativeWork	True
Find me the [book](object_type) with the title of [The Rainwater LP](object_name)	SearchCreativeWork	True
Please find me the [Rear Mirror](object_name) [saga](object_type).	SearchCreativeWork	True
Need to find the [TV series](object_type) called [Administrative Behavior](object_name)	SearchCreativeWork	True
Please search [A New Machine](object_name) [TV series](object_type).	SearchCreativeWork	True
Look for the [game](object_type) [Whitehorse](object_name)	SearchCreativeWork	True
Please find me the work, [The Wizard of Stone Mountain](object_name).	SearchCreativeWork	True
Please search the [Ironbound](object_name) [picture](object_type).	SearchCreativeWork	True
Please get me the [They Came to Rob Hong Kong](object_name) [photograph](object_type).	SearchCreativeWork	True
Need to see the [TV show](object_type) [Brotherly Love](object_name)	SearchCreativeWork	True
Can you please find me the [TV series](object_type) titled [The Second Deadly Sin](object_name)?	SearchCreativeWork	True
Please look up the [Around the World in Eighty Days](object_name) [movie](object_type).	SearchCreativeWork	True
Is there a creative work with the title [The Lonesome Death of Buck McCoy](object_name)	SearchCreativeWork	True
Please find me the [Project Gotham Racing 2](object_name) [TV series](object_type).	SearchCreativeWork	True
Can you find me the [novel](object_type), [Literacy](object_name)?	SearchCreativeWork	True
Please search the work, [The Mercenary](object_name).	SearchCreativeWork	True
Find the [television show](object_type) [My First Holly Golightly Album](object_name)	SearchCreativeWork	True
Please get me [Rough and Ready](object_name) [saga](object_type).	SearchCreativeWork	True
Find the [Trance Visionary](object_name) [saga](object_type)	SearchCreativeWork	True
Look for the [novel](object_type) [Behind closed doors](object_name)	SearchCreativeWork	True
Looking for a creative work called [The Cowra Breakout](object_name)	SearchCreativeWork	True
Help me search the work, [American Hot Wax](object_name).	SearchCreativeWork	True
Look for a [photograph](object_type) of [I Wanna Sex You Up](object_name)	SearchCreativeWork	True
Wish to find the work [The Immortals](object_name) that is a [show](object_type)	SearchCreativeWork	True
Please find me [Chance Pe Dance](object_name).	SearchCreativeWork	True
Can you find me the [Restless Natives](object_name)?	SearchCreativeWork	True
Please look up for the work titled [We Own The Night](object_name).	SearchCreativeWork	True
I need to find the [novel](object_type) called [Toxic Waste](object_name)	SearchCreativeWork	True
Looking for the [TV show](object_type) called [Neon Nights](object_name)	SearchCreativeWork	True
Find me [The Rise and Fall of the Great Lakes](object_name) [saga](object_type).	SearchCreativeWork	True
Find me the [movie](object_type) with the title of [Twitches](object_name)	SearchCreativeWork	True
Can you please find the [Jack Johnson En Concert](object_name) [picture](object_type)?	SearchCreativeWork	True
Please find me the [book](object_type) [Step Into My Groove](object_name).	SearchCreativeWork	True
Please help me find the [Short Program](object_name) [saga](object_type).	SearchCreativeWork	True
Can you search [City of Scars](object_name)?	SearchCreativeWork	True
Can you please find me [D.R.E.A.M.](object_name)?	SearchCreativeWork	True
Looking for the creative work with the name of [With or Without Your Help](object_name)	SearchCreativeWork	True
Find the [video game](object_type) [Out of My Head](object_name)	SearchCreativeWork	True
Find the [movie](object_type) [Girl on the Trapeze](object_name)	SearchCreativeWork	True
Please find me the work, [Earth Intruders](object_name).	SearchCreativeWork	True
Look for the [show](object_type) [Card Hunter](object_name)	SearchCreativeWork	True
Can you get me the [Growing Artichokes in Mimongo](object_name) [movie](object_type)?	SearchCreativeWork	True
Can you find me the [Shockwave](object_name) [picture](object_type)?	SearchCreativeWork	True
Can you find me the [Stand Proud](object_name) [book](object_type)?	SearchCreativeWork	True
Can you find me the [Back When I Knew It All](object_name) [album](object_type)?	SearchCreativeWork	True
Find me the [novel](object_type) called [Ressha Sentai ToQger](object_name)	SearchCreativeWork	True
Please find me the work, [Ace of Spades](object_name).	SearchCreativeWork	True
Can you search the [photograph](object_type) titled [A Monetary History of the United States](object_name) 	SearchCreativeWork	True
Please look up the [Beauty on the Fire](object_name) [show](object_type).	SearchCreativeWork	True
look for the creative work [The Testament of Gideon Mack](object_name)	SearchCreativeWork	True
Can you search for [Twilight Is Gone](object_name)?	SearchCreativeWork	True
Look for the [movie](object_type) [Songs in the Key of You](object_name)	SearchCreativeWork	True
Please look up [Tammy and the T-Rex](object_name) work.	SearchCreativeWork	True
Please look up the [Falls Church News-Press](object_name) [album](object_type).	SearchCreativeWork	True
Can you get me the [Club Nation](object_name) [game](object_type)?	SearchCreativeWork	True
Please find me the [Scud: The Disposable Assassin](object_name) [painting](object_type).	SearchCreativeWork	True
Want to find a creative work called [The Prayer](object_name)	SearchCreativeWork	True
Please look up the [photograph](object_type), [The New People](object_name).	SearchCreativeWork	True
Please search the [song](object_type) [Poomadhathe Pennu](object_name).	SearchCreativeWork	True
Want a work called [Walk the River](object_name)	SearchCreativeWork	True
Looking for the [photograph](object_type) the [Crimson Climax](object_name)	SearchCreativeWork	True
Find me a [video game](object_type) called [Dating in the Dark Australia](object_name)	SearchCreativeWork	True
Please search for the [When the Lovelight Starts Shining Through His Eyes](object_name) [TV series](object_type).	SearchCreativeWork	True
Can you please find me the work, [Goodbye](object_name)?	SearchCreativeWork	True
Find the [album](object_type) [Encheiridion](object_name)	SearchCreativeWork	True
Please search [TV series](object_type) [The Movies](object_name).	SearchCreativeWork	True
I am looking for any creative work with the title of [Journal of Pharmacy and Pharmacology](object_name)	SearchCreativeWork	True
Can you find me the [Children of Jerusalem: Yehuda](object_name) [movie](object_type)?	SearchCreativeWork	True
Looking for a [song](object_type) with the title of [Hollywood Star Playhouse](object_name)	SearchCreativeWork	True
Look for the [novel](object_type) [Rings of Steel](object_name)	SearchCreativeWork	True
Find the [album](object_type) [Follow That Camel](object_name)	SearchCreativeWork	True
Find me the [show](object_type) with the name of [For Hope](object_name)	SearchCreativeWork	True
Please find me the [Magic Hour](object_name) [saga](object_type).	SearchCreativeWork	True
Can you find me the [painting](object_type) titled [Across the Line](object_name)?	SearchCreativeWork	True
Can you find me the work, [An InCONvenient Truth](object_name)?	SearchCreativeWork	True
Please search the [Irv Gotti Presents: The Murderers](object_name) [picture](object_type).	SearchCreativeWork	True
Please find me the [Hat Trick](object_name) [novel](object_type).	SearchCreativeWork	True
look for the [television show](object_type) [The Tibetan Book of Living and Dying](object_name)	SearchCreativeWork	True
Find [My Only Wish](object_name) in some form of creative work	SearchCreativeWork	True
Find the creative work [Brilliant! Tragic](object_name)!	SearchCreativeWork	True
do you know if there is a [TV series](object_type) of [Glinda of Oz](object_name)?	SearchCreativeWork	True
look for the creative work [Meltdown – Days of Destruction](object_name)	SearchCreativeWork	True
Please find me [Happy Birthday BBC Two](object_name).	SearchCreativeWork	True
Looking for the [TV show](object_type) the [Tin Toy](object_name)	SearchCreativeWork	True
Please look up the [painting](object_type), [Modern times](object_name).	SearchCreativeWork	True
Please get me the [British Journal of Dermatology](object_name) [game](object_type).	SearchCreativeWork	True
Look for the [trailer](object_type) of [Guitar Heaven: Santana Performs the Greatest Guitar Classics of All Time](object_name)	SearchCreativeWork	True
Can you please find me [The Biggest Loser Brunei: The Spirit of Life](object_name) [photograph](object_type)?	SearchCreativeWork	True
Would like to find the [trailer](object_type) for [An Experiment with Time](object_name)	SearchCreativeWork	True
Please help me find the [video game](object_type) [John Michael Montgomery discography](object_name).	SearchCreativeWork	True
Wish to read the [novel](object_type) called [The Wizard of Stone Mountain](object_name)	SearchCreativeWork	True
Can you help me find the [Author! Author](object_name)! [trailer](object_type)?	SearchCreativeWork	True
Find a [show](object_type) called [The Inheritors](object_name)	SearchCreativeWork	True
Want to find a [photograph](object_type) called [The Nine Maidens](object_name)	SearchCreativeWork	True
Please find me [The Hanging Valley](object_name) [movie](object_type).	SearchCreativeWork	True
Need a creative work with the title [Unholy Confessions](object_name)	SearchCreativeWork	True
Please get me the [Just the Hits 2](object_name) [TV show](object_type).	SearchCreativeWork	True
Can you look up the [Bireswar](object_name) [album](object_type)?	SearchCreativeWork	True
Please search for [Columbia Records 1958–1986](object_name).	SearchCreativeWork	True
Can you please find me, [Journals](object_name)?	SearchCreativeWork	True
Can you get me the [Maldeamores](object_name) [saga](object_type)?	SearchCreativeWork	True
Can you please look up the [game](object_type), [The Islanders](object_name)?	SearchCreativeWork	True
Please find the [Packed to the Rafters](object_name) work.	SearchCreativeWork	True
Please find me [Glass Cloud – Single](object_name).	SearchCreativeWork	True
Search [The Olympic Champ](object_name) [book](object_type).	SearchCreativeWork	True
Please get me [The National Medical Journal of India](object_name) [game](object_type).	SearchCreativeWork	True
Search for the [video game](object_type) [The Book of Heroic Failures](object_name)	SearchCreativeWork	True
Looking for the [trailer](object_type) for [Shaolin Temple](object_name)	SearchCreativeWork	True
Please look up the [Cultural depictions of Matthew Shepard](object_name) [TV series](object_type).	SearchCreativeWork	True
Can you help me find [Preaching to the Perverted](object_name)?	SearchCreativeWork	True
Please look up the [Out There](object_name) [picture](object_type).	SearchCreativeWork	True
Please get me [Edgemont](object_name) [soundtrack](object_type).	SearchCreativeWork	True
Can you please find me [Season of Glass](object_name)?	SearchCreativeWork	True
Looking for the crative work called [In my memory](object_name)	SearchCreativeWork	True
Search for a [picture](object_type) of [Darker than black](object_name)	SearchCreativeWork	True
Find the [TV series](object_type) [Right here right now](object_name)	SearchCreativeWork	True
Wish to fins a [painting](object_type) by [Ju-On: The Beginning of the End](object_name)	SearchCreativeWork	True
Can you find me [The Source Family](object_name) [novel](object_type)?	SearchCreativeWork	True
Please search for the [painting](object_type) [Live at the Tokyo Dome](object_name).	SearchCreativeWork	True
Can you find me the work, [Chet Baker with Fifty Italian Strings](object_name)?	SearchCreativeWork	True
Need to find the [soundtrack](object_type) called [Fire in the Valley](object_name)	SearchCreativeWork	True
Please look up the [book](object_type), [The Wacken Carnage](object_name).	SearchCreativeWork	True
Please get me the [Armageddon March Eternal – Symphonies of Slit Wrists](object_name) [trailer](object_type).	SearchCreativeWork	True
Find me the [East Asia Image Collection](object_name) [movie](object_type).	SearchCreativeWork	True
get me [House of Stairs](object_name)	SearchCreativeWork	True
Please search for [Willy and the Poor Boys](object_name) [song](object_type).	SearchCreativeWork	True
Can you find me the [WWE Legends of Wrestling](object_name) [book](object_type)?	SearchCreativeWork	True
Can you look up the [TV show](object_type), [The Great Rock 'n' Roll Swindle](object_name)?	SearchCreativeWork	True
Please look up the [Utility Directory](object_name) [album](object_type).	SearchCreativeWork	True
Please search for the [Puppet on a String](object_name) [video game](object_type).	SearchCreativeWork	True
Find the [Youth Against Christ](object_name) [saga](object_type)	SearchCreativeWork	True
Please search for the [Lost My Way](object_name) [trailer](object_type).	SearchCreativeWork	True
Please look up the [television show](object_type), [Noel Hill & Tony Linnane](object_name).	SearchCreativeWork	True
Please search [The World of Music](object_name) [painting](object_type).	SearchCreativeWork	True
Can you look up [The Lateness of the Hour](object_name) [photograph](object_type)?	SearchCreativeWork	True
Find the [Mystery Woman](object_name) [saga](object_type)	SearchCreativeWork	True
Can you search the [Armed America: Portraits of Gun Owners in Their Homes](object_name) [television show](object_type)?	SearchCreativeWork	True
Please get me the [Follow Me](object_name) [video game](object_type).	SearchCreativeWork	True
Please look up the [show](object_type) [Statue of James Outram](object_name).	SearchCreativeWork	True
Can you find me the [I Am Very Far](object_name) [TV series](object_type)?	SearchCreativeWork	True
Wish to find the [movie](object_type) the [Heart Beat](object_name)	SearchCreativeWork	False
Please look up the [TV show](object_type), [Vanity](object_name).	SearchCreativeWork	False
Get me the [Elvis' Christmas Album](object_name) [TV show](object_type).	SearchCreativeWork	False
Please find me the [saga](object_type), [The Deep Six](object_name).	SearchCreativeWork	False
Wish to see the [photograph](object_type) with the name [Live: Right Here](object_name)	SearchCreativeWork	False
Looking for a [novel](object_type) called [Death March](object_name)	SearchCreativeWork	False
Can you find me the work, [The Curse of Oak Island](object_name)?	SearchCreativeWork	False
Please get me [The Sacred and Profane Love Machine](object_name) [game](object_type).	SearchCreativeWork	False
Need a creative work called [Hit by Love](object_name)	SearchCreativeWork	False
search for the [trailer](object_type) for [The Office](object_name)	SearchCreativeWork	False
Looking for a creative work called [Plant Ecology](object_name)	SearchCreativeWork	False
Find the [television show](object_type) [To Me](object_name)	SearchCreativeWork	False
Can you please find me the [saga](object_type) [Chump Change](object_name)?	SearchCreativeWork	False
Can you find me [The Ridiculous 6](object_name) [book](object_type)?	SearchCreativeWork	False
Please fine me the [TV series](object_type), [Now We Are Married](object_name).	SearchCreativeWork	False
Please look up the work, [Bachelor Pad](object_name).	SearchCreativeWork	False
Please help me find the [Late Night Heartbroken Blues](object_name) [television show](object_type).	SearchCreativeWork	False
Please help me find, [Bend It Like Beckham the Musical](object_name).	SearchCreativeWork	False
Please look up the [TV series](object_type) [Parables for Wooden Ears](object_name).	SearchCreativeWork	False
Can you find me, [Hey Man](object_name)?	SearchCreativeWork	False
Please search for [Switched](object_name).	SearchCreativeWork	False
Can you get me the [Controlled Conversations](object_name) [TV series](object_type)?	SearchCreativeWork	False
Please look up the [song](object_type) [The Mad Magician](object_name).	SearchCreativeWork	False
Please search for the [TV show](object_type), [The Best of White Lion](object_name).	SearchCreativeWork	False
Please find me [Phineas Redux](object_name).	SearchCreativeWork	False
Get me the [Procession of Ants](object_name) [TV show](object_type).	SearchCreativeWork	False
Looking for a [game](object_type) called [Phinally Phamous](object_name)	SearchCreativeWork	False
Can you search the [Daring Youth](object_name) [saga](object_type)?	SearchCreativeWork	False
look for the [book](object_type) [The Girl Who Was Plugged In](object_name) 	SearchCreativeWork	False
Find me a [TV show](object_type) called [Baby Blue](object_name)	SearchCreativeWork	False
Search for [Appalachian Journey](object_name)	SearchCreativeWork	False
Look for the [television show](object_type) [Meet the Prince](object_name)	SearchCreativeWork	False
Can you find me [Cracks the Safe](object_name)?	SearchCreativeWork	False
Please help me search the [Hell Money](object_name) [saga](object_type).	SearchCreativeWork	False
Get me the [Secret South](object_name) [song](object_type).	SearchCreativeWork	False
Can you find me the work titled [Music for Millions](object_name)?	SearchCreativeWork	False
Please search for the [painting](object_type) titled [This Is the Night](object_name).	SearchCreativeWork	False
Could you locate the [Epic Conditions](object_name) [picture](object_type)?	SearchCreativeWork	False
get me the [trailer](object_type) of [Good Morning Sunshine](object_name)	SearchCreativeWork	False
Please search the [An Introduction to Karl Marx](object_name) [painting](object_type).	SearchCreativeWork	False
Can you find me the [Blue Spring](object_name) [trailer](object_type)?	SearchCreativeWork	False
Could you find the [TV series](object_type) [The Approach](object_name)	SearchCreativeWork	False
Search for the [TV show](object_type), [A Lawless Street](object_name).	SearchCreativeWork	False
Please look up [Three Essays on the Theory of Sexuality](object_name) [show](object_type).	SearchCreativeWork	False
Please get me the [Compulsive Disclosure](object_name) [song](object_type).	SearchCreativeWork	False
Can you look up the [Molecular Oncology](object_name) [saga](object_type)?	SearchCreativeWork	False
Search for [The Sound of One Hand Clapping](object_name)	SearchCreativeWork	False
Find the creative work [Deadly Weapons](object_name)	SearchCreativeWork	False
Need the creative work called [The Logic of Scientific Discovery](object_name)	SearchCreativeWork	False
Can you find me the [National Anthem of the Ancient Britons](object_name) [television show](object_type)?	SearchCreativeWork	False
Can you please find me the [Harry Hood](object_name) [saga](object_type)?	SearchCreativeWork	False
Can you find me the work, [Bible translations into Hawaii Pidgin](object_name)?	SearchCreativeWork	False
Please look up and find me [Monty Python Live at the Hollywood Bowl](object_name).	SearchCreativeWork	False
Please search for [Mary](object_name).	SearchCreativeWork	False
Please search the [game](object_type) [ATLA: All This Life Allows](object_name).	SearchCreativeWork	False
Find me the [novel](object_type) with the name [To Lose My Life](object_name)…	SearchCreativeWork	False
Looking for a [song](object_type) with the title of [Live at the Kings Center](object_name)	SearchCreativeWork	False
Can you find the [American Bison](object_name) [photograph](object_type)?	SearchCreativeWork	False
Can you find me the [Free for All](object_name) [show](object_type)?	SearchCreativeWork	False
Please find me the [Olympia 74](object_name) [soundtrack](object_type).	SearchCreativeWork	False
